,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
763,15,85,128.1,82.2,36.0,9.9
764,15,85,128.4,82.8,33.6,12.0
765,15,85,119.7,76.2,35.1,8.5
766,15,85,125.4,80.3,34.3,10.8
767,15,85,130.4,84.4,35.4,10.5
768,15,85,127.7,82.7,35.2,9.8
769,15,85,129.6,84.0,35.2,10.3
770,15,90,126.8,80.0,36.4,10.4
771,15,90,129.8,83.2,37.2,9.4
772,15,90,131.6,84.0,36.2,11.5
773,15,90,130.2,80.8,37.9,11.5
774,15,90,131.2,85.7,34.8,10.8
775,15,90,127.5,81.0,38.0,8.6
776,15,90,131.0,83.5,36.1,11.4
777,15,90,128.2,80.8,36.2,11.1
778,15,90,130.8,83.0,36.5,11.3
779,15,90,125.9,80.4,37.0,8.4
780,15,95,127.9,79.5,41.3,7.0
781,15,95,133.6,86.0,37.6,10.1
782,15,95,131.9,82.5,40.4,9.1
783,15,95,130.1,80.6,38.1,11.3
784,15,95,130.0,80.0,41.0,9.1
785,15,95,125.8,78.6,39.9,7.3
786,15,95,129.0,77.7,40.5,10.9
787,15,95,130.3,84.1,39.4,6.9
788,15,95,129.9,80.4,41.2,8.3
789,15,95,135.6,83.4,38.6,13.6
790,15,100,134.7,82.1,40.9,11.6
791,15,100,127.3,79.7,40.7,7.0
792,15,100,135.6,84.5,41.5,9.7
793,15,100,124.9,75.3,44.1,5.6
794,15,100,128.2,79.1,43.3,5.8
795,15,100,135.5,83.8,43.4,8.4
796,15,100,134.9,82.5,40.8,11.5
797,15,100,133.5,82.9,41.2,9.4
798,15,100,135.9,82.9,42.4,10.6
799,15,100,131.3,81.3,40.6,9.4
800,20,5,147.2,103.8,2.8,40.6
801,20,5,147.1,102.9,2.8,41.3
802,20,5,145.6,103.2,2.7,39.7
803,20,5,149.8,105.3,3.3,41.2
804,20,5,144.0,103.1,2.3,38.6
805,20,5,147.1,103.2,3.1,40.9
806,20,5,152.4,107.0,2.9,42.5
807,20,5,151.8,105.4,3.0,43.4
808,20,5,148.0,103.7,3.1,41.2
809,20,5,141.8,101.7,2.9,37.2
810,20,10,134.2,102.8,4.8,26.7
811,20,10,129.4,100.5,5.4,23.4
812,20,10,135.2,104.4,5.2,25.6
813,20,10,139.9,105.1,4.8,29.9
814,20,10,141.4,107.2,4.7,29.5
815,20,10,135.5,102.5,4.9,28.1
816,20,10,130.9,100.0,5.7,25.2
817,20,10,131.5,104.0,4.6,22.9
818,20,10,147.2,107.8,4.6,34.8
819,20,10,143.8,107.8,4.1,31.9
820,20,15,123.0,99.0,7.7,16.3
821,20,15,135.9,105.0,6.8,24.2
822,20,15,122.6,97.7,7.6,17.3
823,20,15,133.3,102.0,6.6,24.7
824,20,15,135.1,105.0,6.8,23.4
825,20,15,130.0,99.1,7.0,23.9
826,20,15,130.2,101.6,7.4,21.2
827,20,15,128.5,102.7,7.6,18.2
